"Nom del fitxer","Pàgina","Paraula clau","Fragment","Ruta completa"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","2","artificial","eflexió i diàleg, al voltant de la intel·ligència ARTIFICIAL (IA) i la seva aplicació en l’administració públi","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","3","artificial","el desenvolupament dels sistemes d’intel·ligència ARTIFICIAL, SIA; i serveix com a referència per a futurs est","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","4","artificial","bient. Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","5","artificial","PT.pdf Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","6","artificial","1.0.1. Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","7","artificial","es amb condicions específiques. La intel·ligència ARTIFICIAL és capaç de processar una gran quantitat de texto","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","8","artificial","ampolí Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","9","artificial","ativa. Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","10","artificial","Anglès Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"IA Gen_LOCALRET.pdf","1","artificial","PER TREBALLAR AMB LA IA GENERATIVA intel·ligència ARTIFICIAL que té la capacitat de CONSULTA crear contingut n","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\IA Gen_LOCALRET.pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","2","artificial","eflexió i diàleg, al voltant de la intel·ligència ARTIFICIAL (IA) i la seva aplicació en l’administració públi","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\pdf1\pdf11\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","3","artificial","el desenvolupament dels sistemes d’intel·ligència ARTIFICIAL, SIA; i serveix com a referència per a futurs est","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\pdf1\pdf11\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","4","artificial","bient. Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\pdf1\pdf11\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
"Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf","5","artificial","PT.pdf Garanties i principis de la intel·ligència ARTIFICIAL generativa en l’administració local","C:\OneDrive\OneDrive - Ajuntament de Mataró - M365\Aplicacions\Python\buscarPDFs\pdfs\pdf1\pdf11\Guia-rapida-Garanties-i-principis-de-la-intelligencia-artificial-generativa-en-ladministracio-local (1).pdf"
